,price,bedrooms,bathrooms,sqft,city,state,latitude,longitude,homeType,homeStatus,distance_to_waterfront,additional_info,ind_HasGarage,features,ind_HasPool,ind_GolfCourseNearby,ind_ShoppingNearby,ind_Clubhouse,ind_RecreationNearby,ind_ParkNearby,ind_IsCornerLot,ind_IsCuldesac,price/sqft
22,2999000.0,5.0,5.0,4001.0,Tsawwassen,BC,49.017685,-123.09395,SINGLE_FAMILY,FOR_SALE,0.7943972859632411,"{'garage_stalls': None, 'features': None}",0.0,NA,False,False,False,False,False,False,False,False,749.562609347663
23,1498000.0,5.0,3.0,3783.0,Delta,BC,49.023163,-123.09425,SINGLE_FAMILY,FOR_SALE,0.9800925780216897,"{'garage_stalls': 2, 'features': 'Recreation Nearby'}",2.0,Recreation Nearby,False,False,False,False,True,False,False,False,395.98202484800424
24,5498000.0,3.0,3.0,2820.0,Delta,BC,49.013504,-123.09393,SINGLE_FAMILY,FOR_SALE,0.6309269293713384,"{'garage_stalls': 2, 'features': 'Near Golf Course, Private, Recreation Nearby'}",2.0,"Near Golf Course, Private, Recreation Nearby",False,True,False,False,True,False,False,False,1949.645390070922
25,3599800.0,5.0,5.0,5225.0,Delta,BC,49.014473,-123.092476,SINGLE_FAMILY,FOR_SALE,0.8205694843636999,"{'garage_stalls': 2, 'features': 'Central Location'}",2.0,Central Location,False,False,False,False,False,False,False,False,688.9569377990431
27,5500000.0,2.0,3.0,2150.0,Delta,BC,49.08691,-123.1023,SINGLE_FAMILY,FOR_SALE,5.380698385230726,"{'garage_stalls': 3, 'features': 'Central Location, Near Golf Course, Marina Nearby, Private, Shopping Nearby, Garden'}",3.0,"Central Location, Near Golf Course, Marina Nearby, Private, Shopping Nearby, Garden",False,True,True,False,False,False,False,False,2558.139534883721
28,5488000.0,6.0,5.0,4837.0,Delta,BC,49.08249,-123.11083,SINGLE_FAMILY,FOR_SALE,4.45399451621023,"{'garage_stalls': 3, 'features': None}",3.0,NA,False,False,False,False,False,False,False,False,1134.5875542691751
29,1888000.0,5.0,2.0,2643.0,Delta,BC,49.012108,-123.09076,SINGLE_FAMILY,FOR_SALE,0.9054571988756145,"{'garage_stalls': 2, 'features': 'Central Location, Near Golf Course, Shopping Nearby, Garden'}",2.0,"Central Location, Near Golf Course, Shopping Nearby, Garden",False,True,True,False,False,False,False,False,714.3397654180856
30,3199900.0,4.0,4.0,7918.0,Tsawwassen,BC,49.025593,-123.09785,SINGLE_FAMILY,FOR_SALE,0.7017674984550143,"{'garage_stalls': 2, 'features': 'Cul-De-Sac, Near Golf Course, Private'}",2.0,"Cul-De-Sac, Near Golf Course, Private",False,True,False,False,False,False,False,True,404.12983076534476
31,2800000.0,4.0,3.0,2418.0,Delta,BC,49.010628,-123.09252,SINGLE_FAMILY,FOR_SALE,0.6637448546215736,"{'garage_stalls': 2, 'features': 'Near Golf Course, Private, Shopping Nearby, Garden'}",2.0,"Near Golf Course, Private, Shopping Nearby, Garden",False,True,True,False,False,False,False,False,1157.9818031430934
33,1000000.0,4.0,3.0,2059.0,Delta,BC,49.009567,-123.06995,MULTI_FAMILY,FOR_SALE,2.969913225665399,"{'garage_stalls': None, 'features': 'Central Location'}",0.0,Central Location,False,False,False,False,False,False,False,False,485.67265662943174
34,1448000.0,6.0,2.0,1966.0,Delta,BC,49.085613,-123.06721,SINGLE_FAMILY,FOR_SALE,5.49842021824094,"{'garage_stalls': None, 'features': 'Central Location'}",0.0,Central Location,False,False,False,False,False,False,False,False,736.5208545269583
35,1349000.0,3.0,2.0,1844.0,Delta,BC,49.02664,-123.05918,SINGLE_FAMILY,FOR_SALE,2.5354741505932736,"{'garage_stalls': None, 'features': 'Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,731.5618221258135
36,1598000.0,5.0,2.0,2514.0,Delta,BC,49.08494,-123.066826,SINGLE_FAMILY,FOR_SALE,5.412207451726397,"{'garage_stalls': None, 'features': 'Central Location, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,635.6404136833731
37,1550000.0,3.0,2.0,2042.0,Delta,BC,49.08155,-123.079994,SINGLE_FAMILY,FOR_SALE,6.033194149299283,"{'garage_stalls': 1, 'features': 'Central Location, Shopping Nearby'}",1.0,"Central Location, Shopping Nearby",False,False,True,False,False,False,False,False,759.0597453476984
38,1498000.0,5.0,3.0,2830.0,Delta,BC,49.09806,-123.0762,SINGLE_FAMILY,FOR_SALE,7.203903824920314,"{'garage_stalls': 2, 'features': 'Cul-De-Sac, Near Golf Course, Marina Nearby, Private, Garden'}",2.0,"Cul-De-Sac, Near Golf Course, Marina Nearby, Private, Garden",False,True,False,False,False,False,False,True,529.3286219081272
39,798000.0,3.0,2.0,1531.0,Delta,BC,49.090797,-123.08684,TOWNHOUSE,FOR_SALE,6.67380690581416,"{'garage_stalls': 1, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",1.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,521.2279555845853
40,1950000.0,3.0,2.0,2563.0,Delta,BC,49.017303,-123.08192,SINGLE_FAMILY,FOR_SALE,2.0308711882530024,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,760.8271556769411
