,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
566,1818000.0,4.0,4.0,0,0,2449.0,Coquitlam,BC,49.285984,-122.75452,742.3438138015516
568,620000.0,2.0,1.0,0,0,858.0,North Vancouver,BC,49.326492,-123.06948,722.6107226107226
569,1499000.0,5.0,3.0,0,0,2139.0,Vancouver,BC,49.249954,-123.07215,700.7947639083684
570,2099000.0,5.0,3.0,0,0,3497.0,Anmore,BC,49.321205,-122.85093,600.2287675150129
571,2880000.0,1.0,2.0,0,0,903.0,Richmond,BC,49.164062,-123.09185,3189.3687707641197
573,3048000.0,7.0,6.0,0,0,3936.0,North Vancouver,BC,49.32636,-123.08697,774.390243902439
574,1499000.0,3.0,3.0,0,0,2536.0,Vancouver,BC,49.241917,-123.08621,591.0883280757098
575,2499000.0,3.0,1.0,0,0,1700.0,North Vancouver,BC,49.30805,-122.95066,1470.0
576,799000.0,3.0,3.0,0,0,1580.0,Coquitlam,BC,49.24446,-122.887695,505.69620253164555
578,1548000.0,4.0,3.0,0,0,2057.0,Surrey,BC,49.192417,-122.772545,752.552260573651
579,743900.0,2.0,2.0,0,0,1054.0,Burnaby,BC,49.213,-122.95361,705.7874762808349
580,859999.0,3.0,2.0,0,0,1581.0,Coquitlam,BC,49.2711,-122.80045,543.9588867805187
581,1898000.0,4.0,3.0,0,0,2254.0,North Vancouver,BC,49.32542,-123.030495,842.058562555457
582,2299888.0,9.0,8.0,0,0,4327.0,Surrey,BC,49.181442,-122.864265,531.5202218627225
584,1890000.0,3.0,2.0,0,0,2568.0,Vancouver,BC,49.217278,-123.080536,735.981308411215
585,1849900.0,5.0,3.0,0,0,4051.0,Pt Moody,BC,49.291054,-122.82972,456.65267835102446
587,1788000.0,5.0,4.0,0,0,1725.0,Vancouver,BC,49.25532,-123.093,1036.5217391304348
588,1565000.0,5.0,1.0,0,0,2127.0,Surrey,BC,49.18976,-122.80752,735.7780912082745
589,2498000.0,3.0,3.0,0,0,3327.0,Coquitlam,BC,49.261658,-122.87886,750.8265704839195
591,1550000.0,3.0,3.0,0,0,1654.0,Vancouver,BC,49.275658,-123.05611,937.1221281741233
592,1899900.0,6.0,3.0,0,0,2594.0,Vancouver,BC,49.248405,-123.08304,732.4209714726292
593,359900.0,0.0,1.0,0,0,474.0,Surrey,BC,49.189186,-122.85242,759.282700421941
594,1880000.0,4.0,2.0,0,0,1709.0,Vancouver,BC,49.219273,-123.08483,1100.0585137507314
595,790000.0,2.0,2.0,0,0,1023.0,Burnaby,BC,49.267532,-123.00627,772.238514173998
596,1790000.0,3.0,3.0,0,0,2903.0,Burnaby,BC,49.258854,-122.941284,616.6035136066139
597,2880000.0,7.0,7.0,0,0,4585.0,Burnaby,BC,49.23661,-123.00075,628.1352235550709
598,4000000.0,4.0,2.0,0,0,1114.0,Surrey,BC,49.18525,-122.83354,3590.664272890485
599,1399000.0,6.0,3.0,0,0,2215.0,Burnaby,BC,49.23473,-122.952866,631.6027088036118
